participantName,group,originalElo,eloRank,expectedOverallPlace,overallPlaceDeltaFromEloRank,overallTop1ProbabilityPercent,overallTop8ProbabilityPercent
金,Apex,4990,1,3.344,2.344,23.86,100.00
銀,Apex,4970,2,3.624,1.624,19.75,100.00
桂,Apex,4950,3,3.874,0.874,16.58,100.00
香,Apex,4930,4,4.215,0.215,13.37,100.00
歩,Apex,4910,5,4.531,-0.469,10.69,100.00
きりん,Apex,4870,6,5.141,-0.859,6.74,100.00
ぞう,Apex,4850,7,5.482,-1.518,5.00,100.00
らいおん,Apex,4830,8,5.790,-2.210,4.00,100.00
いぬ,Innov,4810,9,11.617,2.617,0.00,0.00
うさぎ,Innov,4790,10,11.960,1.960,0.00,0.00
ねこ,Innov,4790,11,11.937,0.937,0.00,0.00
いのしし,Innov,4770,12,12.295,0.295,0.00,0.00
ひよこ,Innov,4750,13,12.623,-0.377,0.00,0.00
大ハム,Innov,4730,14,12.872,-1.128,0.00,0.00
中ハム,Innov,4710,15,13.230,-1.770,0.00,0.00
小ハム,Innov,4690,16,13.467,-2.533,0.00,0.00
