boundaryName,schemaName,rowType,playerName,group,originalElo,eloRank,expectedOverallPlace,overallPlaceDeltaFromEloRank,overallTop1ProbabilityPercent,overallTop8ProbabilityPercent
TournamentQualityReport,playerReport,data,圭,Apex,5110,1,3.300,2.300,30.00,100.00
TournamentQualityReport,playerReport,data,杏,Apex,5090,2,4.323,2.323,5.00,97.73
TournamentQualityReport,playerReport,data,と,Apex,5070,3,4.262,1.262,15.00,98.76
TournamentQualityReport,playerReport,data,飛,Apex,5050,4,3.685,-0.315,33.33,96.53
TournamentQualityReport,playerReport,data,角,Apex,5030,5,4.955,-0.045,3.33,94.46
TournamentQualityReport,playerReport,data,玉,Apex,5010,6,4.763,-1.237,0.00,98.68
TournamentQualityReport,playerReport,data,金,Apex,4990,7,5.041,-1.959,10.00,90.85
TournamentQualityReport,playerReport,data,銀,Apex,4970,8,5.999,-2.001,3.33,90.12
TournamentQualityReport,playerReport,data,桂,Innov,4950,9,11.927,1.927,0.00,2.26
TournamentQualityReport,playerReport,data,香,Innov,4930,10,12.538,1.538,0.00,6.18
TournamentQualityReport,playerReport,data,歩,Innov,4910,11,11.877,-0.123,0.00,7.32
TournamentQualityReport,playerReport,data,きりん,Innov,4870,12,11.345,-1.655,0.00,10.47
TournamentQualityReport,playerReport,data,ぞう,Innov,4850,13,13.284,-0.716,0.00,1.59
TournamentQualityReport,playerReport,data,らいおん,Innov,4830,14,12.622,-2.378,0.00,2.78
TournamentQualityReport,playerReport,data,いぬ,Innov,4810,15,12.127,-3.873,0.00,2.27
TournamentQualityReport,playerReport,data,ねこ,Innov,4790,16,13.950,-3.050,0.00,0.00
