participantName,group,originalElo,eloRank,expectedOverallPlace,overallPlaceDeltaFromEloRank,overallTop1ProbabilityPercent,overallTop8ProbabilityPercent
金,Apex,4990,1,3.344,2.344,23.94,99.15
銀,Apex,4970,2,3.617,1.617,20.09,98.77
桂,Apex,4950,3,3.932,0.932,16.23,98.28
香,Apex,4930,4,4.239,0.239,13.18,97.58
歩,Apex,4910,5,4.535,-0.465,10.95,96.59
きりん,Apex,4870,6,5.218,-0.782,6.80,93.43
ぞう,Apex,4850,7,5.543,-1.457,5.15,91.42
らいおん,Apex,4830,8,5.936,-2.064,3.67,88.22
いぬ,Innov,4810,9,11.514,2.514,0.00,9.08
うさぎ,Innov,4790,10,11.897,1.897,0.00,6.58
ねこ,Innov,4790,11,11.899,0.899,0.00,6.72
いのしし,Innov,4770,12,12.259,0.259,0.00,4.94
ひよこ,Innov,4750,13,12.537,-0.463,0.00,3.63
大ハム,Innov,4730,14,12.883,-1.117,0.00,2.49
中ハム,Innov,4710,15,13.184,-1.816,0.00,1.81
小ハム,Innov,4690,16,13.460,-2.540,0.00,1.30
